datetime,Open,High,Low,Close,Volume
20100104,337.16,342.38,337.02,342.38,0
20100105,343.59,343.59,340.99,342.06,0
20100106,341.61,342.77,339.32,341.28,0
20100107,340.53,340.96,337.94,340.81,0
20100108,342.13,343.29,338.23,341.73,0
20100111,344.19,345.56,340.18,340.27,0
20100112,340.65,341.51,334.97,336.89,0
20100113,335.32,339.01,335.32,338.15,0
20100114,341.19,341.77,339.07,340.81,0
20100115,341.44,343.08,337.48,337.91,0
20100118,339.17,339.59,336.68,339.23,0
20100119,338.68,342.27,335.72,341.65,0
20100120,340.65,342.4,335.07,336.17,0
20100121,338.95,339.68,331.97,332.22,0
20100122,330.34,332.79,326.9,330.05,0
20100125,327.47,332.07,327.37,328.98,0
20100126,326.3,329.32,324.92,329.24,0
20100127,326.43,328.98,325.16,326.84,0
20100128,331.07,331.53,324.83,325.55,0
20100129,325.66,329.84,324.24,328.0,0
20100201,325.87,331.74,325.35,331.24,0
20100202,331.82,334.36,329.42,334.24,0
20100203,334.58,335.68,332.37,332.95,0
20100204,332.4,333.14,322.22,323.15,0
20100205,320.69,321.59,313.84,315.74,0
20100208,317.55,318.77,311.53,316.61,0
20100209,315.97,318.6,314.68,316.09,0
20100210,317.61,318.76,314.7,315.74,0
20100211,317.54,319.33,314.03,316.92,0
20100212,319.21,320.24,314.01,315.64,0
20100215,318.02,318.81,315.04,315.75,0
20100216,318.36,318.91,315.12,318.46,0
20100217,321.05,324.56,320.8,322.86,0
20100218,321.95,324.53,321.28,324.23,0
20100219,321.76,325.77,321.29,325.77,0
20100222,326.86,327.14,324.61,325.01,0
20100223,327.24,327.55,320.22,320.31,0
20100224,321.23,322.05,317.86,320.89,0
20100225,319.28,321.41,314.55,315.12,0
20100226,318.0,318.04,313.35,317.35,0
20100301,320.82,324.8,320.1,324.27,0
20100302,325.04,328.36,324.34,328.25,0
20100303,327.85,332.58,326.93,331.62,0
20100304,329.91,333.68,329.86,332.46,0
20100305,334.09,338.58,333.83,338.49,0
20100308,340.34,340.66,336.89,337.96,0
20100309,339.08,339.47,336.31,339.14,0
20100310,338.6,341.51,337.98,340.92,0
20100311,339.57,341.18,337.71,338.99,0
20100312,339.83,342.29,338.75,339.5,0
20100315,339.01,339.23,334.91,335.27,0
20100316,336.96,340.15,336.94,339.39,0
20100317,341.0,343.76,340.36,342.84,0
20100318,341.54,343.11,341.22,341.87,0
20100319,342.95,343.3,338.3,339.29,0
20100322,337.45,338.53,334.0,337.85,0
20100323,338.31,342.41,338.31,341.89,0
20100324,342.82,343.33,338.99,341.75,0
20100325,341.62,346.0,341.61,345.39,0
20100326,344.1,345.39,343.42,343.42,0
20100329,344.14,345.39,342.51,344.18,0
20100330,345.44,346.08,343.27,343.93,0
20100331,343.54,345.66,342.16,343.27,0
20100401,346.24,351.46,346.04,350.67,0
20100406,353.13,355.39,352.87,355.27,0
20100407,355.95,356.13,353.49,354.39,0
20100408,352.19,352.57,349.51,351.3,0
20100409,354.12,356.25,354.04,355.84,0
20100412,358.0,358.2,354.39,355.4,0
20100413,354.09,355.71,352.75,354.64,0
20100414,356.41,357.92,355.92,357.02,0
20100415,356.67,356.76,353.18,355.67,0
20100416,354.02,356.6,349.22,349.68,0
20100419,348.37,350.8,346.97,348.64,0
20100420,350.36,354.98,349.43,354.52,0
20100421,356.37,356.48,352.94,353.74,0
20100422,353.44,356.75,349.88,351.88,0
20100423,352.68,355.14,351.06,353.25,0
20100426,356.89,358.23,355.8,357.63,0
20100427,356.72,356.86,350.29,350.36,0
20100428,346.87,349.02,341.95,344.3,0
20100429,345.71,349.37,342.72,348.4,0
20100430,348.24,351.32,344.13,345.52,0
20100503,345.28,348.17,342.45,347.12,0
20100504,347.9,348.86,334.88,335.66,0
20100505,335.4,336.76,328.73,331.4,0
20100506,326.7,333.45,325.18,327.63,0
20100507,316.42,323.21,307.71,312.53,0
20100510,322.36,334.59,322.36,334.31,0
20100511,331.36,334.01,327.79,333.4,0
20100512,332.7,338.76,330.79,336.84,0
20100513,340.0,340.0,335.54,337.52,0
20100514,335.78,335.93,326.1,326.92,0
20100517,324.15,330.23,323.2,326.48,0
20100518,330.65,333.03,327.8,330.97,0
20100519,325.81,327.93,320.73,321.59,0
20100520,323.64,324.72,308.75,314.88,0
20100521,312.76,315.48,306.29,313.25,0
20100524,316.1,317.62,310.34,313.59,0
20100525,303.72,306.39,301.48,305.57,0
20100526,310.2,315.44,308.04,312.28,0
20100527,314.86,321.2,314.38,321.2,0
20100528,323.87,324.03,319.91,320.78,0
20100531,319.88,322.87,319.52,320.43,0
20100601,319.94,322.99,314.47,320.64,0
20100602,319.04,322.84,316.45,322.56,0
20100603,328.62,329.82,326.59,326.78,0
20100604,327.95,331.3,320.29,320.57,0
20100607,315.7,320.58,315.34,316.81,0
20100608,318.43,318.97,311.82,314.09,0
20100609,317.41,320.71,313.7,320.66,0
20100610,318.94,326.71,317.98,325.01,0
20100611,327.0,327.31,321.81,325.45,0
20100614,329.23,331.5,328.57,330.95,0
20100615,329.03,334.63,328.91,333.76,0
20100616,336.33,336.38,332.43,334.72,0
20100617,334.49,336.91,333.25,334.8,0
20100618,335.96,336.89,334.17,335.99,0
20100621,342.22,343.32,340.11,340.71,0
20100622,338.54,340.37,336.9,339.82,0
20100623,336.11,339.07,333.72,335.71,0
20100624,337.37,337.42,328.49,329.16,0
20100625,329.63,330.34,325.26,326.11,0
20100628,327.59,331.04,325.39,330.43,0
20100629,326.42,326.5,318.14,319.88,0
20100630,320.15,320.31,315.81,316.57,0
20100701,312.9,314.81,306.42,307.91,0
20100702,310.05,312.64,308.18,308.2,0
20100705,309.05,309.58,306.57,306.57,0
20100706,307.89,316.83,307.89,313.36,0
20100707,311.29,317.84,308.6,317.16,0
20100708,320.44,323.48,318.54,321.97,0
20100709,324.77,325.94,322.99,324.77,0
20100712,325.79,328.36,323.9,326.05,0
20100713,327.58,334.4,327.33,333.34,0
20100714,336.23,336.73,332.74,334.81,0
20100715,334.05,335.31,328.09,329.39,0
20100716,330.29,332.12,322.7,324.58,0
20100719,323.01,325.76,321.12,322.4,0
