datetime,Open,High,Low,Close,Volume
20150102,426.96,428.09,420.35,422.28,0
20150105,420.54,424.58,410.49,410.94,0
20150106,412.14,414.62,406.3,408.43,0
20150107,410.48,413.96,408.6,411.21,0
20150108,416.58,424.14,415.44,423.07,0
20150109,422.35,424.23,412.76,415.59,0
20150112,416.95,421.5,413.63,418.41,0
20150113,415.06,424.92,414.82,423.79,0
20150114,418.28,425.3,416.87,418.33,0
20150115,422.62,426.62,411.46,425.32,0
20150116,423.28,433.62,422.94,432.98,0
20150119,433.64,436.2,432.03,435.31,0
20150120,435.63,439.39,435.6,437.92,0
20150121,440.21,441.09,435.84,441.09,0
20150122,442.05,449.03,440.41,447.77,0
20150123,450.94,457.1,450.28,454.56,0
20150126,452.92,459.44,452.9,459.14,0
20150127,458.06,459.06,451.49,454.46,0
20150128,456.78,457.57,450.25,452.3,0
20150129,448.36,453.16,448.18,452.47,0
20150130,453.93,454.65,448.9,450.39,0
20150202,451.51,451.91,446.44,450.76,0
20150203,453.25,457.66,452.78,455.82,0
20150204,456.36,456.84,450.79,454.88,0
20150205,451.24,455.42,450.14,455.3,0
20150206,454.68,456.16,452.96,454.69,0
20150209,451.01,451.64,447.24,450.96,0
20150210,451.62,456.03,449.54,453.8,0
20150211,455.43,459.06,454.83,458.27,0
20150212,458.36,463.79,458.25,460.43,0
20150213,462.14,466.06,461.86,464.9,0
20150216,464.92,465.37,462.0,462.82,0
20150217,460.27,464.41,457.87,463.42,0
20150218,466.0,467.32,465.28,467.32,0
20150219,467.09,470.45,465.46,469.79,0
20150220,469.08,469.85,466.15,469.85,0
20150223,474.53,475.22,472.5,475.22,0
20150224,476.03,480.6,475.75,479.94,0
20150225,479.65,481.09,477.06,478.53,0
20150226,478.91,482.61,477.9,482.47,0
20150227,482.09,483.93,479.93,483.93,0
20150302,484.3,487.01,483.37,485.84,0
20150303,486.45,486.79,479.55,480.06,0
20150304,481.21,483.57,478.8,483.57,0
20150305,485.37,489.36,484.83,488.96,0
20150306,488.5,492.36,488.07,489.84,0
20150309,487.41,488.21,484.76,488.21,0
20150310,487.06,488.51,482.13,483.1,0
20150311,484.05,492.6,484.05,491.93,0
20150312,492.31,494.57,490.91,491.64,0
20150313,493.01,493.62,489.32,492.48,0
20150316,494.17,498.66,494.17,498.03,0
20150317,498.53,499.3,492.7,494.4,0
20150318,495.35,496.65,492.31,496.63,0
20150319,496.83,499.94,494.7,496.01,0
20150320,497.25,500.66,495.45,499.12,0
20150323,499.65,499.65,495.32,497.55,0
20150324,495.68,500.44,494.99,498.66,0
20150325,497.47,499.68,490.92,491.64,0
20150326,486.7,487.48,480.96,486.37,0
20150327,488.5,488.6,483.44,485.73,0
20150330,489.46,495.03,488.59,494.69,0
20150331,494.76,496.27,487.57,489.41,0
20150401,487.25,494.8,485.83,490.04,0
20150402,490.9,493.14,489.91,492.38,0
20150407,495.86,504.18,495.86,503.03,0
20150408,500.5,500.87,496.59,497.16,0
20150409,499.72,501.97,498.54,501.97,0
20150410,504.1,507.19,503.26,507.17,0
20150413,507.3,509.64,505.62,508.66,0
20150414,507.61,510.37,503.84,505.86,0
20150415,506.04,510.35,505.28,507.43,0
20150416,508.57,509.51,503.85,504.38,0
20150417,502.66,503.88,493.28,495.03,0
20150420,497.4,501.41,496.97,500.73,0
20150421,503.58,506.85,501.13,503.81,0
20150422,507.41,508.73,502.35,505.72,0
20150423,504.98,506.82,499.27,503.0,0
20150424,504.12,506.21,502.62,504.01,0
20150427,504.36,510.55,499.16,509.24,0
20150428,507.69,507.97,498.33,501.66,0
20150429,502.01,503.67,488.5,489.26,0
20150430,488.72,491.32,484.8,487.85,0
20150504,486.28,493.36,484.55,491.17,0
20150505,490.37,495.16,482.32,482.61,0
20150506,482.8,483.87,476.96,478.15,0
20150507,475.56,479.89,469.82,478.78,0
20150508,481.56,491.1,481.56,490.79,0
20150511,491.43,493.47,489.41,492.75,0
20150512,490.66,490.8,486.02,488.97,0
20150513,490.4,492.58,484.85,486.69,0
20150514,484.18,491.94,481.06,490.69,0
20150515,492.31,495.44,489.08,490.96,0
20150518,490.68,492.83,484.24,490.15,0
20150519,492.94,499.7,492.94,499.18,0
20150520,499.93,503.02,498.47,501.9,0
20150521,500.81,502.48,499.51,502.05,0
20150522,502.0,503.21,500.03,501.89,0
20150525,502.57,503.05,498.95,501.14,0
20150526,500.22,502.69,495.0,496.35,0
20150527,497.25,504.77,496.68,503.52,0
20150528,502.95,504.8,499.86,502.24,0
20150529,502.55,503.01,493.49,493.56,0
20150601,496.87,498.83,491.36,492.25,0
20150602,493.48,493.76,485.59,486.5,0
20150603,486.95,492.77,485.44,487.74,0
20150604,485.81,489.4,478.4,485.29,0
20150605,481.69,483.03,477.14,479.38,0
20150608,478.65,479.43,474.82,475.13,0
20150609,473.71,475.1,468.59,474.7,0
20150610,473.6,483.12,471.87,481.45,0
20150611,479.93,489.32,479.6,484.88,0
20150612,483.08,483.74,474.01,477.76,0
20150615,472.85,475.29,470.91,472.89,0
20150616,469.41,476.73,466.7,475.17,0
20150617,475.6,477.4,470.12,471.56,0
20150618,469.92,472.99,464.6,472.97,0
20150619,472.47,479.76,472.44,475.43,0
20150622,485.26,490.15,484.35,489.72,0
20150623,494.01,497.17,492.52,494.45,0
20150624,494.65,495.94,490.77,492.62,0
20150625,489.61,497.29,488.77,492.39,0
20150626,490.01,496.78,488.27,494.47,0
20150629,473.75,483.51,473.53,477.15,0
20150630,475.39,480.11,471.32,472.58,0
20150701,476.95,486.33,474.21,482.83,0
20150702,482.35,483.38,476.75,476.96,0
20150703,477.12,478.06,471.82,474.14,0
20150706,464.69,471.72,463.9,467.25,0
20150707,467.59,467.59,456.32,456.64,0
20150708,457.79,461.88,454.86,459.04,0
20150709,460.27,471.24,459.58,469.97,0
20150710,480.66,482.75,477.41,481.39,0
20150713,487.4,490.31,485.58,489.9,0
20150714,489.95,493.84,489.3,493.84,0
20150715,494.17,497.49,493.18,497.13,0
20150716,499.62,503.61,498.96,501.01,0
20150717,501.29,502.35,499.76,500.43,0
20150720,502.5,506.05,500.52,502.08,0
20150721,503.76,504.23,497.97,498.76,0
20150722,494.95,498.05,494.5,496.12,0
20150723,500.68,500.69,493.97,496.35,0
20150724,494.81,498.59,489.26,490.04,0
20150727,488.56,489.09,480.81,481.52,0
20150728,485.05,487.51,482.31,485.77,0
20150729,487.97,490.46,484.92,489.29,0
20150730,494.13,495.56,491.35,495.17,0
20150731,496.11,496.64,491.84,495.23,0
20150803,495.9,501.52,495.81,500.43,0
20150804,499.57,500.84,496.98,500.02,0
20150805,501.66,504.0,499.78,503.48,0
20150806,501.66,503.22,500.49,501.23,0
20150807,499.15,500.09,496.39,496.61,0
