datetime,Open,High,Low,Close,Volume
20120102,312.84,317.0,312.81,315.82,0
20120103,317.63,318.2,314.79,318.01,0
20120104,316.69,317.75,314.24,315.14,0
20120105,315.62,315.62,310.86,311.88,0
20120106,312.58,313.85,309.68,310.79,0
20120109,311.91,313.74,311.12,311.73,0
20120110,313.25,317.13,312.93,315.49,0
20120111,314.68,315.19,310.67,311.15,0
20120112,311.78,314.31,309.36,310.4,0
20120113,312.77,313.03,305.55,308.78,0
20120116,308.27,313.56,307.32,313.24,0
20120117,316.3,318.32,314.14,315.24,0
20120118,315.57,317.6,312.64,315.4,0
20120119,316.83,320.48,315.86,320.48,0
20120120,320.74,321.22,318.63,320.31,0
20120123,320.47,323.83,319.95,323.02,0
20120124,320.35,321.25,318.51,320.97,0
20120125,321.82,322.62,317.6,319.44,0
20120126,320.8,323.38,319.24,322.82,0
20120127,321.05,322.46,319.22,319.36,0
20120130,316.8,317.79,314.37,315.63,0
20120131,317.84,319.95,317.45,318.47,0
20120201,320.39,325.45,320.36,325.15,0
20120202,325.56,325.56,322.27,323.06,0
20120203,322.97,326.33,320.69,326.33,0
20120206,325.56,325.76,323.41,325.06,0
20120207,325.62,326.28,323.57,325.97,0
20120208,327.12,327.97,325.33,325.33,0
20120209,325.66,327.41,324.04,325.12,0
20120210,323.23,323.6,319.61,320.09,0
20120213,322.34,323.61,321.81,322.61,0
20120214,321.77,324.75,320.79,321.87,0
20120215,323.37,324.7,322.12,322.86,0
20120216,319.91,325.31,319.77,325.18,0
20120217,327.19,330.1,327.08,327.93,0
20120220,331.48,333.08,331.36,332.58,0
20120221,332.58,332.67,329.32,330.51,0
20120222,330.86,331.13,326.6,326.77,0
20120223,326.23,328.25,324.12,326.22,0
20120224,327.28,327.54,324.32,324.91,0
20120227,323.6,325.64,321.21,324.98,0
20120228,325.68,326.31,322.92,325.55,0
20120229,326.33,328.09,323.92,324.25,0
20120301,323.68,326.55,322.66,326.55,0
20120302,326.7,328.87,326.19,327.85,0
20120305,326.41,327.69,324.13,325.64,0
20120306,324.49,324.57,317.53,317.53,0
20120307,317.73,320.17,316.67,319.64,0
20120308,321.28,325.27,320.91,325.11,0
20120309,325.76,327.82,323.87,326.03,0
20120312,325.64,327.42,324.66,326.1,0
20120313,327.92,331.96,327.62,331.49,0
20120314,333.09,334.83,332.58,333.2,0
20120315,333.22,335.1,332.49,335.1,0
20120316,335.29,337.2,335.0,336.17,0
20120319,336.41,336.41,334.19,336.12,0
20120320,334.37,334.7,331.37,332.05,0
20120321,333.38,334.04,329.2,330.78,0
20120322,329.48,330.15,325.72,326.92,0
20120323,327.01,328.37,323.86,326.19,0
20120326,327.24,330.37,326.05,330.23,0
20120327,331.37,332.44,328.55,328.99,0
20120328,328.55,330.36,325.62,325.62,0
20120329,324.71,326.01,320.18,321.09,0
20120330,323.07,324.76,321.59,323.51,0
20120402,324.11,326.45,320.94,326.39,0
20120403,326.1,327.23,322.03,322.03,0
20120404,321.36,321.44,313.51,313.87,0
20120405,315.19,315.81,310.88,314.91,0
20120410,311.94,312.26,305.91,305.91,0
20120411,305.24,309.46,304.58,307.77,0
20120412,308.65,311.7,304.04,310.88,0
20120413,310.29,311.51,305.36,306.12,0
20120416,305.12,309.39,304.37,306.02,0
20120417,306.39,313.42,305.96,313.18,0
20120418,312.57,313.15,309.04,309.99,0
20120419,311.11,313.46,306.76,306.76,0
20120420,306.92,309.64,305.9,309.2,0
20120423,306.44,306.53,299.92,301.27,0
20120424,303.09,304.85,300.96,304.68,0
20120425,305.58,309.47,305.19,308.0,0
20120426,309.73,312.42,307.94,310.55,0
20120427,307.51,312.13,306.22,310.75,0
20120430,311.61,312.06,307.91,308.3,0
20120502,311.98,312.3,305.47,306.87,0
20120503,307.99,310.56,305.49,306.44,0
20120504,306.15,307.21,300.55,300.95,0
20120507,295.64,305.32,295.37,304.74,0
20120508,305.62,306.01,299.78,300.59,0
20120509,301.51,302.09,296.42,300.07,0
20120510,302.62,304.61,297.61,302.94,0
